Time;Status;CO2;Temperature;Humidity;Pressure;Photo;Battery;HWVersion;SWVersion;rssi
2023-06-06 13:37:22.183015;5;514;2668;3351;9673530;18002;4661;2;6;-85
2023-06-06 13:42:26.325049;8;501;2666;3332;9673195;17974;4660;2;6;-81
2023-06-06 13:45:07.320521;1;496;2665;3180;9672771;17948;4661;2;6;-84
2023-06-06 13:54:28.311100;3;480;2662;3097;9671083;17990;4660;2;6;-84
2023-06-06 13:54:33.357931;4;480;2662;3104;9671193;17990;4659;2;6;-85
2023-06-06 13:54:49.290828;5;479;2663;3117;9671104;17966;4660;2;6;-83
2023-06-06 14:13:40.324817;9;587;2805;2920;9669787;16936;4659;2;6;-82
2023-06-06 14:14:59.364612;14;507;2783;2877;9670087;16956;4660;2;6;-86
2023-06-06 14:20:08.333172;0;471;2727;2978;9670224;17274;4660;2;6;-83
2023-06-06 14:20:13.392584;1;470;2726;2983;9669645;17200;4662;2;6;-84
2023-06-06 14:21:29.392481;5;468;2718;2991;9669671;17168;4660;2;6;-86
2023-06-06 14:21:35.170179;6;467;2717;2990;9669903;17234;4659;2;6;-86
2023-06-06 14:23:07.328075;11;465;2710;3007;9669652;17248;4661;2;6;-81
2023-06-06 14:26:41.218713;8;467;2701;3044;9669253;17222;4659;2;6;-89
2023-06-06 14:28:17.402703;14;468;2698;3068;9669804;17238;4658;2;6;-95
2023-06-06 14:41:14.321624;13;480;2683;3139;9667181;17294;4659;2;6;-89
2023-06-06 14:44:24.547128;8;484;2683;3129;9667617;17408;4662;2;6;-86
2023-06-06 14:46:43.397695;1;484;2682;3128;9667343;17410;4659;2;6;-91
2023-06-06 15:12:47.254769;15;505;2688;3126;9666573;17458;4661;2;6;-83
2023-06-06 15:42:31.386071;11;468;2697;3056;9666525;17276;4660;2;6;-89
2023-06-06 16:04:28.207252;10;461;2703;2915;9665749;18874;4659;2;6;-84
2023-06-06 16:04:38.289161;11;461;2702;2917;9665460;18926;4660;2;6;-82
2023-06-06 16:04:59.234557;12;461;2701;2914;9664968;18854;4659;2;6;-90
2023-06-06 16:05:09.328622;13;461;2702;2915;9665153;18754;4658;2;6;-86
2023-06-06 16:05:25.248928;14;461;2703;2924;9665242;18906;4661;2;6;-90
2023-06-06 16:05:40.415815;15;461;2701;2925;9665130;18954;4661;2;6;-87
2023-06-06 16:06:12.215875;0;462;2703;2928;9665033;18868;4660;2;6;-81
2023-06-06 16:06:17.291093;1;463;2703;2933;9665103;18890;4659;2;6;-85
2023-06-06 16:06:33.228947;2;463;2702;2931;9664709;18898;4659;2;6;-85
2023-06-06 16:06:48.377842;3;464;2702;2930;9664709;18904;4657;2;6;-86
2023-06-06 16:07:25.188229;5;464;2702;2933;9664888;18954;4659;2;6;-87
2023-06-06 16:07:51.197087;6;464;2702;2935;9664744;18894;4662;2;6;-83
2023-06-06 16:07:56.252333;7;464;2702;2937;9664564;18956;4658;2;6;-83
2023-06-06 16:08:27.174826;9;465;2703;2944;9664584;18996;4660;2;6;-85
2023-06-06 16:08:58.221026;10;465;2703;2945;9664701;18968;4662;2;6;-91
2023-06-06 16:09:03.252134;11;466;2702;2945;9664749;19018;4659;2;6;-89
2023-06-06 16:09:24.209718;12;467;2703;2947;9664724;18900;4658;2;6;-81
2023-06-06 16:09:34.265170;13;468;2703;2949;9664754;18940;4659;2;6;-87
2023-06-06 16:09:49.370352;14;468;2702;2948;9664617;18914;4659;2;6;-88
2023-06-06 16:10:05.180277;15;469;2703;2948;9664916;18934;4658;2;6;-87
2023-06-06 16:10:35.413741;0;469;2702;2946;9664574;18918;4661;2;6;-80
2023-06-06 16:10:41.212121;1;469;2703;2946;9664492;18984;4658;2;6;-87
2023-06-06 16:10:56.319508;2;468;2703;2948;9664729;18930;4659;2;6;-78
2023-06-06 16:11:27.262629;3;468;2703;2951;9664439;18900;4660;2;6;-88
2023-06-06 16:11:32.315280;4;468;2703;2952;9664636;18960;4659;2;6;-86
2023-06-06 16:11:53.203647;5;468;2703;2956;9664597;19018;4661;2;6;-94
2023-06-06 16:12:03.295707;6;468;2702;2954;9664377;18980;4658;2;6;-81
2023-06-06 16:12:18.403841;7;468;2702;2954;9664272;18972;4658;2;6;-81
2023-06-06 16:12:39.353864;8;468;2702;2947;9664180;19028;4659;2;6;-83
2023-06-06 16:13:10.374380;10;468;2702;2950;9664307;18948;4660;2;6;-82
2023-06-06 16:13:41.311382;12;468;2701;2949;9663771;19006;4661;2;6;-82
2023-06-06 16:14:07.252577;13;468;2702;2948;9664158;19044;4659;2;6;-81
2023-06-06 16:14:17.359955;14;468;2701;2950;9664008;19010;4661;2;6;-91
2023-06-06 16:14:48.408975;0;468;2701;2948;9663821;19010;4658;2;6;-81
2023-06-06 16:15:25.250322;2;468;2700;2950;9663674;19050;4660;2;6;-85
2023-06-06 16:15:40.369719;3;468;2701;2952;9663911;19024;4659;2;6;-81
