Time,Status,CO2,Temperature,Humidity,Pressure,Photo,Battery,HWVersion,SWVersion,rssi
2023-06-08 10:43:29.174349,13,504,2681,3550,9653985,18652,4648,2,6,-88
2023-06-08 10:43:34.218260,14,503,2682,3552,9653900,18780,4650,2,6,-88
2023-06-08 10:44:01.078127,15,503,2681,3553,9653930,18674,4648,2,6,-93
2023-06-08 10:44:11.220177,0,503,2682,3553,9653835,18718,4649,2,6,-90
2023-06-08 10:44:22.055385,1,502,2681,3553,9653715,18676,4651,2,6,-89
2023-06-08 10:44:43.041947,2,503,2682,3554,9653840,18882,4652,2,6,-90
2023-06-08 10:45:24.183659,4,503,2682,3558,9653927,18724,4651,2,6,-83
2023-06-08 10:45:29.212824,5,503,2683,3559,9653934,18708,4651,2,6,-84
2023-06-08 10:46:01.083873,7,502,2685,3562,9653872,18780,4649,2,6,-88
2023-06-08 10:58:02.326056,2,496,2696,3520,9653719,18796,4648,2,6,-92
2023-06-08 10:58:34.109162,4,496,2696,3522,9653580,18696,4651,2,6,-89
2023-06-08 10:58:49.264730,5,496,2696,3523,9653545,18702,4649,2,6,-84
2023-06-08 11:03:04.287972,4,495,2700,3485,9653270,18838,4650,2,6,-89
2023-06-08 11:03:10.051551,5,495,2700,3494,9653078,18808,4652,2,6,-88
2023-06-08 11:03:25.218766,6,496,2701,3497,9653267,18800,4650,2,6,-83
2023-06-08 11:03:46.241639,7,496,2702,3501,9653474,18832,4651,2,6,-83
2023-06-08 11:05:08.252572,12,499,2703,3505,9653184,18908,4648,2,6,-87
2023-06-08 11:05:24.174568,13,499,2702,3506,9653104,18808,4649,2,6,-86
2023-06-08 11:06:08.233056,15,501,2704,3508,9653164,18906,4651,2,6,-92
2023-06-08 11:06:13.317036,0,502,2704,3508,9653326,18918,4652,2,6,-89
2023-06-08 11:06:40.032396,1,502,2704,3509,9653301,18920,4648,2,6,-89
2023-06-08 11:07:00.204956,3,502,2705,3509,9653341,18934,4649,2,6,-84
2023-06-08 11:07:27.043192,4,502,2706,3504,9653395,18942,4649,2,6,-89
2023-06-08 11:07:37.186150,5,502,2706,3501,9653191,18876,4650,2,6,-89
2023-06-08 11:07:53.084712,6,502,2706,3500,9653213,18934,4648,2,6,-89
2023-06-08 11:08:19.079134,7,502,2706,3502,9653113,18904,4648,2,6,-89
2023-06-08 11:08:24.127518,8,502,2706,3502,9652869,18900,4646,2,6,-90
2023-06-08 11:08:55.208817,9,502,2707,3501,9652871,18896,4650,2,6,-89
2023-06-08 11:09:11.119460,10,502,2708,3502,9653130,18938,4650,2,6,-85
2023-06-08 11:09:16.156351,11,502,2708,3504,9652963,18916,4650,2,6,-89
2023-06-08 11:09:58.078314,13,502,2709,3505,9653062,18976,4649,2,6,-89
2023-06-08 11:10:24.042335,15,502,2710,3503,9653234,18910,4650,2,6,-90
2023-06-08 11:11:10.276817,2,504,2710,3505,9653104,18890,4649,2,6,-89
2023-06-08 11:11:26.126478,3,504,2711,3506,9653074,18914,4648,2,6,-89
2023-06-08 11:11:47.094255,4,504,2711,3507,9653141,18892,4649,2,6,-89
2023-06-08 11:12:24.058439,6,505,2712,3505,9653366,18858,4650,2,6,-89
2023-06-08 11:12:39.234364,7,506,2713,3503,9653253,18958,4648,2,6,-89
2023-06-08 11:12:50.042892,8,506,2713,3503,9653258,18868,4648,2,6,-89
2023-06-08 11:13:05.244590,9,506,2712,3503,9653091,18914,4649,2,6,-85
2023-06-08 11:13:31.303270,10,507,2713,3500,9653338,18920,4648,2,6,-86
2023-06-08 11:13:37.056815,11,507,2713,3500,9653106,18864,4649,2,6,-87
2023-06-08 11:14:08.160705,12,507,2713,3499,9653198,18812,4648,2,6,-88
2023-06-08 11:14:13.222324,13,507,2714,3497,9653305,18826,4650,2,6,-90
2023-06-08 11:14:34.181023,14,506,2714,3494,9653160,18832,4649,2,6,-86
2023-06-08 11:15:11.108286,0,505,2715,3487,9653502,18784,4649,2,6,-94
2023-06-08 11:15:37.196784,2,505,2715,3487,9653205,18654,4649,2,6,-87
2023-06-08 11:15:53.124093,3,506,2715,3489,9653215,18704,4648,2,6,-84
2023-06-08 11:16:08.289314,4,505,2715,3491,9653133,18574,4650,2,6,-89
2023-06-08 11:16:35.053880,5,506,2716,3492,9653147,18724,4648,2,6,-86
2023-06-08 11:16:45.184608,6,507,2716,3495,9653177,18818,4648,2,6,-86
2023-06-08 11:17:06.177065,7,507,2717,3503,9653157,18722,4648,2,6,-86
2023-06-08 11:17:38.039998,9,510,2717,3520,9653132,18722,4648,2,6,-88
2023-06-08 11:17:48.197336,10,512,2717,3519,9653057,18738,4649,2,6,-87
2023-06-08 11:18:04.059616,11,515,2717,3520,9653167,18744,4648,2,6,-88
2023-06-08 11:18:19.219009,12,518,2717,3520,9653052,18676,4650,2,6,-87
2023-06-08 11:18:51.050157,13,520,2718,3521,9653234,18708,4651,2,6,-84
