Time,Status,CO2,Temperature,Humidity,Pressure,Photo,Battery,HWVersion,SWVersion,rssi
2023-06-08 10:43:29.173913,7,527,2689,3415,9653659,20208,3062,2,6,-54
2023-06-08 10:43:39.308929,8,527,2688,3416,9653516,20188,3062,2,6,-58
2023-06-08 10:43:55.243719,9,527,2689,3414,9653607,20186,3063,2,6,-54
2023-06-08 10:44:11.219835,10,527,2689,3416,9653571,20178,3061,2,6,-58
2023-06-08 10:44:43.041662,11,527,2689,3416,9653486,19796,3062,2,6,-58
2023-06-08 10:44:48.113520,12,527,2690,3414,9653586,20174,3063,2,6,-54
2023-06-08 10:45:09.023214,13,527,2690,3415,9653576,20214,3061,2,6,-54
2023-06-08 10:45:19.127638,14,527,2690,3415,9653626,20228,3064,2,6,-58
2023-06-08 10:45:34.258649,15,526,2690,3416,9653505,20164,3061,2,6,-54
2023-06-08 10:46:01.084245,0,526,2691,3414,9653619,20210,3063,2,6,-54
2023-06-08 10:58:02.326864,12,526,2702,3404,9653582,20194,3061,2,6,-54
2023-06-08 10:58:34.109612,14,526,2702,3399,9653577,20170,3061,2,6,-57
2023-06-08 10:58:55.062911,15,526,2702,3397,9653541,19628,3062,2,6,-57
2023-06-08 11:02:54.181920,13,525,2705,3398,9653285,20244,3059,2,6,-54
2023-06-08 11:02:59.223139,14,525,2705,3397,9653095,20222,3061,2,6,-58
2023-06-08 11:03:15.104246,15,524,2705,3399,9652986,20238,3064,2,6,-57
2023-06-08 11:03:30.270560,0,524,2705,3397,9653169,20356,3062,2,6,-58
2023-06-08 11:05:14.042011,6,524,2707,3393,9653165,20404,3060,2,6,-54
2023-06-08 11:05:29.234044,7,524,2707,3393,9653026,20350,3062,2,6,-54
2023-06-08 11:06:19.085765,10,524,2707,3393,9653152,20238,3063,2,6,-58
2023-06-08 11:06:34.271089,11,524,2708,3391,9653093,20282,3061,2,6,-54
2023-06-08 11:06:50.105782,12,524,2708,3387,9653041,20284,3061,2,6,-58
2023-06-08 11:07:05.335053,13,524,2708,3386,9653173,20342,3061,2,6,-58
2023-06-08 11:07:27.042301,14,524,2708,3386,9653173,20322,3063,2,6,-54
2023-06-08 11:07:42.253222,15,523,2708,3385,9652799,20264,3060,2,6,-54
2023-06-08 11:08:08.252291,0,524,2708,3385,9653143,20268,3061,2,6,-58
